Title,Activity type (Sport or Activity),Neighbourhood,Participants,Cost,Season,Title Link,page,Location,Website,detail_error
Marvel Stadium,Recreation or social,Docklands,"Adults, Children, Families, Female, Gender diverse, Male, Older adults, People with disabilities, Young people",,All year,https://www.melbourne.vic.gov.au/sports-activities/marvel-stadium,2,"740 Bourke Street, Docklands VIC 3008",https://www.marvelstadium.com.au/,
Melbourne and Olympic Parks Trust,Soccer,East Melbourne,"Adults, Children, Families, Female, Gender diverse, Male, Older adults, People with disabilities, Young people",,,https://www.melbourne.vic.gov.au/sports-activities/melbourne-and-olympic-parks-trust,2,"100 Olympic Blvd, Melbourne VIC 3081",http://www.mopt.com.au/,
Melbourne Bike Polo,Cycling,West Melbourne,"Adults, Children, Families, Female, Male, Older adults, Young people",,,https://www.melbourne.vic.gov.au/sports-activities/melbourne-bike-polo,2,"Franklin Street/William Street, West Melbourne VIC",https://www.melbournebikepolo.org/contact-us,
Melbourne Budokai,Martial arts,West Melbourne,"Adults, Children, Families, Female, Gender diverse, Male, Older adults, People with disabilities, Young people",,,https://www.melbourne.vic.gov.au/sports-activities/melbourne-budokai,2,"91 Rosslyn Street, West Melbourne",https://melbournebudokai.com.au/,
Melbourne City Baths,Gym and fitness,CBD,"Adults, Children, Families, Female, Gender diverse, Male, Older adults, People with disabilities, Young people",,All year,https://www.melbourne.vic.gov.au/sports-activities/melbourne-city-baths,2,"420 Swanston Street, Melbourne VIC 3000",site Melbourne City Baths,
Melbourne Cricket Ground,"AFL, Cricket",,"Adults, Children, Families, Female, Gender diverse, Male, Older adults, People with disabilities, Young people",,,https://www.melbourne.vic.gov.au/sports-activities/melbourne-cricket-ground,3,"Melbourne Cricket Ground, Brunton Ave, Richmond VIC 3002",https://www.mcg.org.au/,
Melbourne Frontrunners,"Athletics, Gym and fitness, Recreation or social",,"Adults, Female, Gender diverse, Male, Older adults",,,https://www.melbourne.vic.gov.au/sports-activities/melbourne-frontrunners,3,"(Various) The Tan, Observatory Gate Lodge",http://www.melbournefrontrunners.com.au,
Melbourne High School Old Boys Cricket Club,Cricket,South Yarra,"Adults, Male, Older adults, Young people",,Summer,https://www.melbourne.vic.gov.au/sports-activities/melbourne-high-school-old-boys-cricket-club,3,"Forrest Hill, South Yarra VIC 3141",https://mhsoba.asn.au/clubs-associations/,
Melbourne Outrigger Canoe Club,Boating and rowing,Docklands,"Adults, Children, Families, Female, Male, Older adults, Young people",,,https://www.melbourne.vic.gov.au/sports-activities/melbourne-outrigger-canoe-club,3,"Docklands Community Boating Hub 912 Collins Street, Docklands VIC 3008",https://melbourneoutriggers.com.au/,
Melbourne Oztag,Oztag,Parkville,"Adults, Children, Families, Female, Male, Older adults, Young people",$,Summer,https://www.melbourne.vic.gov.au/sports-activities/melbourne-oztag,3,Parkville VIC 3052,https://www.melbourne.oztag.com.au/,
Melbourne Rebels,Rugby,,"Adults, Children, Families, Female, Male, Older adults, People with disabilities",,Winter,https://www.melbourne.vic.gov.au/sports-activities/melbourne-rebels,3,"60 Olympic Boulevard, Melbourne VIC 3000",http://www.melbournerebels.com.au/,
Melbourne Rowing Club,Boating and rowing,South Yarra,"Adults, Families, Female, Male, Older adults, People with disabilities, Young people",$$$,,https://www.melbourne.vic.gov.au/sports-activities/melbourne-rowing-club,3,"Boathouse Drive, Melbourne VIC 3004",https://moomba.melbourne.vic.gov.au,
Melbourne Softball Association Inc,Softball,South Yarra,"Adults, Children, Families, Older adults, People with disabilities, Young people",$,All year,https://www.melbourne.vic.gov.au/sports-activities/melbourne-softball-association-inc,3,Fawkner Park South Yarra VIC 3141,http://www.melbournesoftball.org.au/,
Melbourne Sports Centres - Parkville,"Hockey, Netball, Recreation or social",Parkville,"Adults, Children, Families, Female, Gender diverse, Male, Older adults, People with disabilities, Young people",,,https://www.melbourne.vic.gov.au/sports-activities/melbourne-sports-centres-parkville,3,"10 Brens Drive, Royal Park, Parkville VIC 3052",https://statesportcentres.com.au/venues/parkville/,
Melbourne Storm,Rugby,,"Adults, Children, Families, Female, Gender diverse, Male, Older adults, People with disabilities, Young people",,Winter,https://www.melbourne.vic.gov.au/sports-activities/melbourne-storm,3,"60 Olympic Boulevard, Melbourne VIC 3000",http://www.melbournestorm.com.au/,
Melbourne Tigers Basketball Club,Basketball,,"Adults, Children, Families, Female, Male, Older adults, People with disabilities, Young people",,All year,https://www.melbourne.vic.gov.au/sports-activities/melbourne-tigers-basketball-club,4,"Melbourne Sports and Aquatic Centre, Albert Park VIC 3206",https://moomba.melbourne.vic.gov.au,
Melbourne Touch Football,Touch football,Carlton,"Adults, Children, Families, Female, Male, Older adults, People with disabilities, Young people",$,,https://www.melbourne.vic.gov.au/sports-activities/melbourne-touch-football,4,"Princes Park, Carlton North and JJ Holland Park, Kensington",https://moomba.melbourne.vic.gov.au,
